Feature,Coefficient,OddsRatio
BusinessTravel_Travel_Frequently,0.7800113142947666,2.181496947458067
OverTime_Yes,0.7738669373534828,2.1681341031338976
JobRole_Laboratory Technician,0.7142349736773494,2.042623423681441
YearsAtCompany,0.6073799201506428,1.835615633159744
NumCompaniesWorked,0.5557963643641416,1.7433287570116216
BusinessTravel_Travel_Rarely,0.5365465280994745,1.7100909018862303
JobRole_Sales Representative,0.5180285063006015,1.6787148094801254
JobRole_Sales Executive,0.48119964632161927,1.6180142832578905
JobLevel,0.46094775365745694,1.58557600856918
YearsSinceLastPromotion,0.43674826401471195,1.5476664246813212
MaritalStatus_Single,0.42836712782723924,1.5347494267736994
Department_Sales,0.4083926892289477,1.5043978060070606
Department_Research & Development,0.35300167158992785,1.4233335226615937
JobRole_Human Resources,0.34957578496195046,1.418465686467644
JobRole_Research Scientist,0.23473550520491723,1.2645742511883322
AgeBand_46-55,0.23267663471239583,1.2619733349705475
DistanceFromHome,0.21329349105323134,1.2377478658656602
DistanceBand_10-19,0.1725013177257762,1.188273386432427
Gender_Male,0.1642649583456173,1.1785265341691302
MaritalStatus_Married,0.15462002701026561,1.167214366900902
AgeBand_56+,0.1311852943289948,1.1401790304481332
PerformanceRating,0.11221939385230398,1.1187582824114226
JobRole_Manufacturing Director,0.11214647999091398,1.1186767123989183
DistanceBand_20+,0.10147937566966536,1.1068070910014751
Education,0.07266485202996414,1.0753700684174676
MonthlyIncome,0.038258878456217574,1.0390001728263676
DistanceBand_3-9,0.016598712225932167,1.0167372362283982
IncomeBand_10k+,0.007000235836454066,1.0070247947599773
MonthlyRate,-0.02779006437838742,0.9725925271869991
HourlyRate,-0.052320743543711926,0.9490244245645479
AgeBand_26-35,-0.12865983145950272,0.879273015697421
EducationField_Technical Degree,-0.1351565438522754,0.8735791475384972
YearsInCurrentRole,-0.13803661795581587,0.8710667944764027
JobRole_Manager,-0.14395602843048186,0.8659258233396225
IncomeBand_6k-10k,-0.15868999746720444,0.8532608309922578
TrainingTimesLastYear,-0.16474019109155727,0.848114023044825
PercentSalaryHike,-0.18302107080933255,0.8327506088229277
DailyRate,-0.1927430853634726,0.8246938228381681
StockOptionLevel,-0.20516287147893061,0.8145146444027201
EducationField_Marketing,-0.2492449935826607,0.7793890046880582
WorkLifeBalance,-0.2573999171686787,0.7730589923746467
IncomeBand_3k-6k,-0.2956514350342353,0.7440467314489837
RelationshipSatisfaction,-0.3094550656992982,0.7338467455480457
YearsWithCurrManager,-0.3198466722243476,0.7262603844264404
JobInvolvement,-0.3210392490147671,0.7253947794009953
AgeBand_36-45,-0.33286585531738666,0.7168663515152557
EducationField_Other,-0.3817643559337417,0.6826558980652527
Age,-0.40838978582260327,0.6647197299926573
JobSatisfaction,-0.42305051138926314,0.655045545015641
EducationField_Medical,-0.44116686898115326,0.6432853532447482
TenureBand_6-10 yrs,-0.4450587496180908,0.6407866289567251
TenureBand_4-5 yrs,-0.46577317955907,0.62764963166926
EnvironmentSatisfaction,-0.4674671320792164,0.6265873229981725
JobRole_Research Director,-0.5275960760679427,0.5900216333451151
TenureBand_2-3 yrs,-0.5352669805770705,0.585512948690733
EducationField_Life Sciences,-0.5463853355319069,0.5790390640606498
TenureBand_11+ yrs,-0.7216873034789522,0.4859316496857016
TotalWorkingYears,-0.7462400976159285,0.4741459479487076
