Feature,Importance
MonthlyIncome,0.07197311603546691
Age,0.058041312431818405
TotalWorkingYears,0.0524686124554123
OverTime_Yes,0.0497492032080318
DailyRate,0.04574675036436305
YearsAtCompany,0.04340411446075012
YearsWithCurrManager,0.040952207188401576
MonthlyRate,0.03991252986857632
DistanceFromHome,0.039844043748940274
HourlyRate,0.03964235614218896
StockOptionLevel,0.03591682738769565
NumCompaniesWorked,0.03399414810308273
YearsInCurrentRole,0.030571324201512783
PercentSalaryHike,0.028409984025652674
JobLevel,0.027537554300164517
EnvironmentSatisfaction,0.025069809951068757
JobSatisfaction,0.024603206230782312
YearsSinceLastPromotion,0.020442410806698456
RelationshipSatisfaction,0.019052564663022895
WorkLifeBalance,0.01834097252675919
TrainingTimesLastYear,0.016713058599129065
MaritalStatus_Single,0.016357952791938545
JobInvolvement,0.016248295333656865
Education,0.016149970100493037
AgeBand_36-45,0.012570954820230674
Department_Research & Development,0.010473551239314444
Department_Sales,0.009896392771066555
BusinessTravel_Travel_Frequently,0.009635911449858382
JobRole_Research Scientist,0.009256941455985582
JobRole_Laboratory Technician,0.009173833934050224
Gender_Male,0.00879186048623783
JobRole_Sales Executive,0.008553686328376421
MaritalStatus_Married,0.008412814157394331
AgeBand_26-35,0.007122374709603334
EducationField_Medical,0.006910662574541184
IncomeBand_3k-6k,0.0064498653963117394
EducationField_Life Sciences,0.006420435486335703
DistanceBand_3-9,0.006363581024488486
BusinessTravel_Travel_Rarely,0.006035360671331289
TenureBand_6-10 yrs,0.005633176492788684
DistanceBand_10-19,0.004866128516959928
AgeBand_46-55,0.004746184353151624
TenureBand_4-5 yrs,0.004642216005051263
JobRole_Sales Representative,0.004484123359729244
IncomeBand_6k-10k,0.004434987516475605
DistanceBand_20+,0.004374843958075559
EducationField_Marketing,0.0038185207572694934
IncomeBand_10k+,0.0036436917215412995
TenureBand_11+ yrs,0.0035352961304827165
TenureBand_2-3 yrs,0.0033102965337893035
PerformanceRating,0.0029936327471709228
JobRole_Manufacturing Director,0.0029349281052849533
EducationField_Technical Degree,0.0028206781903204504
JobRole_Research Director,0.0023950401198997574
JobRole_Manager,0.0019287557365822016
EducationField_Other,0.0010007076393090588
AgeBand_56+,0.0006490569700145902
JobRole_Human Resources,0.0005771837153698264
